Rank,Movie,Production Budget,MPAA Rating,Genre,Date,Gross,Theaters,Days
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"May 26, 2022","$19,300,000",0,0
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"May 27, 2022","$52,012,661",4735,1
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"May 28, 2022","$38,017,701",4735,2
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"May 29, 2022","$36,677,097",4735,3
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"May 30, 2022","$33,807,521",4735,4
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"May 31, 2022","$15,800,746",4735,5
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 1, 2022","$14,821,417",4735,6
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 2, 2022","$14,466,868",4735,7
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 3, 2022","$25,006,817",4751,8
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 4, 2022","$36,008,145",4751,9
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 5, 2022","$29,022,049",4751,10
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 6, 2022","$12,402,196",4751,11
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 7, 2022","$13,765,401",4751,12
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 8, 2022","$12,402,113",4751,13
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 9, 2022","$9,133,204",4751,14
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 10, 2022","$14,206,605",4262,15
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 11, 2022","$20,111,627",4262,16
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 12, 2022","$17,537,112",4262,17
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 13, 2022","$6,632,341",4262,18
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 14, 2022","$7,555,031",4262,19
1,Top Gun: Maverick,"$170,000,000",PG-13,Action,"Jun 15, 2022","$6,578,251",4262,20
